ChildIndividualID,FatherIndividualID,LeadingFather,FatherReported,FatherEdgeEvidenceClass,TierAParent,TierBOrBetterParent,ParentBootstrapFraction,ParentVariantFraction,ParentLeaveOneChromosomeFraction,ParentAlternatives95,EvidenceTier,ParentCountMAPState,OneParentStateBootstrapFraction,OneParentStateLeaveOneChromosomeFraction,OneParentStatePriorFraction,ForcedCompletionApplied,Interpretation
fAulAsc237,0,fAulAsc97,False,,False,False,0.56325,0.1428571428571428,0.9090909090909092,fAulAsc97:0.563;fAulAsc60:0.120;fAulAsc28:0.102;fAulAsc85:0.101;fAulAsc81:0.030;fAulAsc79:0.022;fAulAsc148:0.020,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc163,0,fAulAsc52,False,,False,False,0.431,1.0,0.8181818181818182,fAulAsc52:0.431;fAulAsc6:0.337;fAulAsc125:0.110;fAulAsc105:0.048;fAulAsc19:0.027,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc174,fAulAsc78,fAulAsc78,True,Tier_B_additional_identity,False,True,0.82125,1.0,1.0,fAulAsc78:0.821;fAulAsc210:0.048;fAulAsc33:0.045;fAulAsc133:0.038,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc185,0,fAulAsc128,False,,False,False,0.412,0.1428571428571428,0.7727272727272727,fAulAsc128:0.412;fAulAsc106:0.319;fAulAsc9:0.096;fAulAsc29:0.055;fAulAsc30:0.037;fAulAsc89:0.028;fAulAsc78:0.015,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc196,0,fAulAsc18,False,,False,False,0.1205,0.1428571428571428,0.3636363636363636,fAulAsc26:0.234;fAulAsc93:0.218;fAulAsc18:0.120;fAulAsc2:0.103;fAulAsc32:0.084;fAulAsc87:0.062;fAulAsc17:0.051;fAulAsc15:0.033;fAulAsc36:0.025;fAulAsc129:0.018;fAulAsc95:0.015,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc207,0,fAulAsc52,False,,False,False,0.4675,1.0,1.0,fAulAsc52:0.468;fAulAsc141:0.170;fAulAsc82:0.083;fAulAsc28:0.073;fAulAsc199:0.061;fAulAsc34:0.029;fAulAsc1:0.028;fAulAsc86:0.019;fAulAsc21:0.017;fAulAsc35:0.015,C_complete_working_hypothesis,one_observed_parent,0.99975,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc218,fAulAsc106,fAulAsc106,True,Tier_B_additional_identity,False,True,0.557,1.0,1.0,fAulAsc106:0.557;fAulAsc38:0.186;fAulAsc133:0.077;fAulAsc30:0.059;fAulAsc128:0.024;fAulAsc28:0.019;fAulAsc57:0.011;fAulAsc86:0.011;fAulAsc56:0.010,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc228,0,fAulAsc128,False,,False,False,0.6405,0.1428571428571428,0.9545454545454546,fAulAsc128:0.640;fAulAsc78:0.143;fAulAsc81:0.060;fAulAsc33:0.054;fAulAsc210:0.052,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc238,0,fAulAsc52,False,,False,False,0.0725,1.0,0.9090909090909092,fAulAsc47:0.191;fAulAsc38:0.137;fAulAsc148:0.127;fAulAsc15:0.124;fAulAsc133:0.114;fAulAsc13:0.079;fAulAsc52:0.072;fAulAsc87:0.025;fAulAsc94:0.025;fAulAsc56:0.022;fAulAsc23:0.018;fAulAsc126:0.017;fAulAsc128:0.016,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc164,fAulAsc78,fAulAsc78,True,Tier_B_additional_identity,False,True,0.74325,1.0,1.0,fAulAsc78:0.743;fAulAsc128:0.198;fAulAsc26:0.036,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
