ChildIndividualID,FatherIndividualID,MotherIndividualID,LeadingFather,LeadingMother,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,EvidenceTier,ParentCountMAPState,DesignGuaranteeApplied,ForcedCompletionApplied
fAulAsc58,fAulAsc157,fAulAsc154,fAulAsc157,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.706,0.7294999999999999,0.9285,1.0,1.0,fAulAsc157+fAulAsc154:0.706;fAulAsc158+fAulAsc154:0.223;fAulAsc158+fAulAsc153:0.048,B_exact_pair,zero_parent,False,False
fAulAsc59,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,0.96075,0.9905,0.97025,1.0,1.0,fAulAsc151+fAulAsc154:0.961,A_exact_pair,zero_parent,False,False
fAulAsc60,0,0,fAulAsc158,fAulAsc154,0,,,False,False,observed_parent_identities_unresolved,0.43575,0.662,0.53325,0.1428571428571428,0.8181818181818182,fAulAsc158+fAulAsc154:0.436;fAulAsc157+fAulAsc153:0.240;fAulAsc158+fAulAsc153:0.226;fAulAsc157+fAulAsc154:0.098,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc61,fAulAsc150,fAulAsc154,fAulAsc150,fAulAsc154,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,1.0,1.0,1.0,1.0,1.0,fAulAsc150+fAulAsc154:1.000,A_exact_pair,two_parent,False,False
fAulAsc62,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.5915,0.76825,0.63175,1.0,1.0,fAulAsc158+fAulAsc153:0.592;fAulAsc157+fAulAsc154:0.179;fAulAsc158+fAulAsc154:0.177;fAulAsc157+fAulAsc153:0.028,B_exact_pair,zero_parent,False,False
fAulAsc64,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,0.9725,0.991,0.97725,1.0,1.0,fAulAsc151+fAulAsc154:0.973,A_exact_pair,father_only,False,False
fAulAsc71,fAulAsc151,0,fAulAsc151,fAulAsc153,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,0.56675,0.98825,0.5715,0.4285714285714285,0.8181818181818182,fAulAsc151+fAulAsc153:0.567;fAulAsc151+fAulAsc154:0.421,A_one_parent_identity,father_only,False,False
fAulAsc72,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,0.55625,0.5880000000000001,0.92525,1.0,0.7727272727272727,fAulAsc157+fAulAsc154:0.556;fAulAsc158+fAulAsc154:0.369;fAulAsc158+fAulAsc153:0.043,B_one_parent_identity,zero_parent,False,False
fAulAsc73,fAulAsc158,fAulAsc154,fAulAsc158,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.79025,0.79025,0.9,1.0,1.0,fAulAsc158+fAulAsc154:0.790;fAulAsc157+fAulAsc154:0.109;fAulAsc157+fAulAsc153:0.100,B_exact_pair,zero_parent,False,False
fAulAsc74,fAulAsc151,0,fAulAsc151,fAulAsc153,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,0.50875,0.9955,0.50925,1.0,0.6818181818181818,fAulAsc151+fAulAsc153:0.509;fAulAsc151+fAulAsc154:0.487,A_one_parent_identity,father_only,False,False
