,block_idx,total_crossovers,unique_switch_types,dominant_switch,dominant_count,diversity_ratio
83,93,5,3,"(1, 3) -> (3, 3)",3,0.6
311,328,5,3,"(0, 3) -> (0, 2)",3,0.6
329,347,5,5,"(0, 2) -> (0, 1)",1,1.0
303,319,5,5,"(0, 3) -> (0, 4)",1,1.0
111,123,5,4,"(4, 4) -> (3, 4)",2,0.8
271,287,5,5,"(2, 3) -> (3, 6)",1,1.0
71,81,4,4,"(1, 2) -> (2, 4)",1,1.0
350,369,4,3,"(3, 3) -> (1, 3)",2,0.75
363,383,4,4,"(1, 2) -> (2, 3)",1,1.0
337,355,4,4,"(3, 4) -> (1, 4)",1,1.0
333,351,4,4,"(0, 8) -> (0, 4)",1,1.0
74,84,4,3,"(0, 2) -> (0, 0)",2,0.75
369,390,4,4,"(0, 0) -> (0, 1)",1,1.0
370,391,4,4,"(2, 2) -> (1, 2)",1,1.0
373,395,4,4,"(0, 1) -> (1, 1)",1,1.0
168,182,4,3,"(0, 2) -> (0, 3)",2,0.75
115,127,4,4,"(0, 2) -> (0, 3)",1,1.0
171,185,4,3,"(0, 2) -> (1, 2)",2,0.75
150,163,4,3,"(0, 4) -> (0, 2)",2,0.75
191,205,4,4,"(2, 3) -> (0, 3)",1,1.0
203,217,4,4,"(0, 3) -> (1, 1)",1,1.0
194,208,4,4,"(2, 3) -> (3, 3)",1,1.0
146,159,4,3,"(1, 3) -> (1, 1)",2,0.75
299,315,4,3,"(0, 0) -> (0, 1)",2,0.75
292,308,4,3,"(0, 2) -> (2, 5)",2,0.75
268,284,4,4,"(1, 3) -> (1, 1)",1,1.0
270,286,4,4,"(2, 3) -> (2, 4)",1,1.0
15,16,4,3,"(0, 2) -> (0, 3)",2,0.75
20,21,4,4,"(1, 2) -> (2, 3)",1,1.0
119,131,4,4,"(2, 4) -> (1, 4)",1,1.0
110,122,4,4,"(0, 3) -> (3, 4)",1,1.0
247,263,4,4,"(2, 3) -> (1, 2)",1,1.0
248,264,4,2,"(0, 3) -> (0, 0)",3,0.5
240,256,4,4,"(0, 1) -> (0, 4)",1,1.0
77,87,4,4,"(0, 2) -> (0, 0)",1,1.0
307,324,4,4,"(1, 2) -> (1, 5)",1,1.0
