Sample_Index,Generation,Approx_Position,Sample_ID
119,F3,14477925.60636307,F3_9
119,F3,15918207.797255145,F3_9
119,F3,17508519.383031815,F3_9
119,F3,18588731.026200872,F3_9
119,F3,19713951.487835307,F3_9
119,F3,21424286.58951965,F3_9
120,F2,360159.5477230193,F3_10
120,F2,5866238.339987523,F3_10
120,F2,8761805.661260137,F3_10
121,F3,180124.27386150966,F3_11
121,F3,6661394.132875858,F3_11
121,F3,8101676.323767935,F3_11
121,F3,8386732.174048658,F3_11
121,F3,13682769.813474733,F3_11
121,F3,15918207.797255145,F3_11
121,F3,17748566.41484716,F3_11
121,F3,19713951.487835307,F3_11
122,F3,1155315.3406113537,F3_12
122,F3,2055491.709918902,F3_12
122,F3,7471552.865252651,F3_12
122,F3,9481946.756706176,F3_12
122,F3,10892223.068621334,F3_12
122,F3,11597361.224578913,F3_12
122,F3,11642370.043044291,F3_12
122,F3,11657372.98253275,F3_12
122,F3,11822405.3169058,F3_12
123,F3,5386144.27635683,F3_13
123,F3,8101676.323767935,F3_13
123,F3,8386732.174048658,F3_13
123,F3,12542546.41235184,F3_13
124,F2,7576573.441671865,F3_14
124,F2,11597361.224578913,F3_14
124,F2,11642370.043044291,F3_14
124,F2,11657372.98253275,F3_14
124,F2,12992634.597005613,F3_14
124,F2,13487731.600124765,F3_14
124,F2,13667766.873986276,F3_14
124,F2,15513128.43106675,F3_14
124,F2,17028425.319401123,F3_14
124,F2,19293869.18215845,F3_14
124,F2,21784357.137242667,F3_14
125,F3,1590400.5857766687,F3_15
125,F3,2340547.560199626,F3_15
125,F3,3690812.114160948,F3_15
125,F3,5161100.184029943,F3_15
125,F3,5446156.034310667,F3_15
125,F3,15648154.886462882,F3_15
126,F3,270141.9107922645,F3_16
126,F3,4906050.2127261385,F3_16
126,F3,8101676.323767935,F3_16
126,F3,8386732.174048658,F3_16
126,F3,11252293.616344353,F3_16
126,F3,14177866.816593885,F3_16
126,F3,16848390.045539614,F3_16
126,F3,23419677.541484714,F3_16
127,F3,330153.66874610103,F3_17
127,F3,2745626.9263880225,F3_17
127,F3,4440959.088583905,F3_17
127,F3,9481946.756706176,F3_17
127,F3,10892223.068621334,F3_17
127,F3,11537349.466625078,F3_17
127,F3,11597361.224578913,F3_17
127,F3,11642370.043044291,F3_17
127,F3,11657372.98253275,F3_17
127,F3,12992634.597005613,F3_17
127,F3,13442722.781659387,F3_17
127,F3,14297890.332501559,F3_17
127,F3,15393104.915159076,F3_17
127,F3,21259254.2551466,F3_17
128,F3,1380359.4329382407,F3_18
128,F3,4440959.088583905,F3_18
128,F3,10007049.638802245,F3_18
128,F3,11132270.10043668,F3_18
128,F3,19368883.87960075,F3_18
128,F3,20944192.525888957,F3_18
128,F3,21889377.713661883,F3_18
129,F2,1155315.3406113537,F3_19
129,F2,5161100.184029943,F3_19
129,F2,9061864.45102932,F3_19
129,F2,11087261.281971304,F3_19
129,F2,15693163.704928258,F3_19
129,F2,20209048.49095446,F3_19
129,F2,20344074.946350593,F3_19
130,F3,6751411.769806612,F3_20
130,F3,12587555.230817217,F3_20
130,F3,14747978.517155332,F3_20
130,F3,15393104.915159076,F3_20
131,F2,4440959.088583905,F3_21
131,F2,13967825.663755458,F3_21
131,F2,20224051.430442918,F3_21
131,F2,21379277.77105427,F3_21
132,F3,12527543.47286338,F3_22
132,F3,16008225.4341859,F3_22
132,F3,16758372.408608858,F3_22
132,F3,17748566.41484716,F3_22
132,F3,21214245.436681222,F3_22
132,F3,21919383.5926388,F3_22
133,F3,8611776.266375545,F3_23
133,F3,9736996.72800998,F3_23
133,F3,11807402.377417343,F3_23
133,F3,20254057.309419837,F3_23
133,F3,21484298.347473487,F3_23
133,F3,22174433.563942607,F3_23
134,F3,1155315.3406113537,F3_24
134,F3,1485380.0093574547,F3_24
