IndividualID,ProjectEntityID,SequencingSampleID,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Sex
fAulAsc212,2021cicX13178972,2021cicX13178972,AA209,sequenced_individual,F3,F3,M
fAulAsc223,2021cicX13178973,2021cicX13178973,AA210,sequenced_individual,F3,F3,M
fAulAsc233,2021cicX13178974,2021cicX13178974,AA211,sequenced_individual,F3,F3,M
fAulAsc243,2021cicX13178975,2021cicX13178975,AA212,sequenced_individual,F3,F3,M
fAulAsc169,2021cicX13178976,2021cicX13178976,AA213,sequenced_individual,F3,F3,M
fAulAsc180,2021cicX13178977,2021cicX13178977,AA214,sequenced_individual,F3,F3,M
fAulAsc191,2021cicX13178978,2021cicX13178978,AA215,sequenced_individual,F3,F3,M
fAulAsc202,2021cicX13178979,2021cicX13178979,AA216,sequenced_individual,F3,F3,M
fAulAsc213,2021cicX13178980,2021cicX13178980,AA217,sequenced_individual,F3,F3,M
fAulAsc224,2021cicX13178981,2021cicX13178981,AA218,sequenced_individual,F3,F3,M
fAulAsc234,2021cicX13178982,2021cicX13178982,AA219,sequenced_individual,F3,F3,M
fAulAsc244,2021cicX13178983,2021cicX13178983,AA220,sequenced_individual,F3,F3,M
fAulAsc160,2021cicX13178984,2021cicX13178984,AA221,sequenced_individual,F3,F3,M
fAulAsc171,2021cicX13178985,2021cicX13178985,AA222,sequenced_individual,F3,F3,M
fAulAsc182,2021cicX13178986,2021cicX13178986,AA223,sequenced_individual,F3,F3,M
fAulAsc193,2021cicX13178987,2021cicX13178987,AA224,sequenced_individual,F3,F3,M
fAulAsc204,2021cicX13178988,2021cicX13178988,AA225,sequenced_individual,F3,F3,M
fAulAsc215,2021cicX13178989,2021cicX13178989,AA226,sequenced_individual,F3,F3,M
fAulAsc226,2021cicX13178990,2021cicX13178990,AA227,sequenced_individual,F3,F3,M
fAulAsc236,2021cicX13178991,2021cicX13178991,AA228,sequenced_individual,F3,F3,M
fAulAsc161,2021cicX13178992,2021cicX13178992,AA229,sequenced_individual,F3,F3,M
fAulAsc172,2021cicX13178993,2021cicX13178993,AA230,sequenced_individual,F3,F3,M
fAulAsc183,2021cicX13178994,2021cicX13178994,AA231,sequenced_individual,F3,F3,M
fAulAsc194,2021cicX13178995,2021cicX13178995,AA232,sequenced_individual,F3,F3,M
fAulAsc205,2021cicX13178996,2021cicX13178996,AA233,sequenced_individual,F3,F3,M
fAulAsc216,2021cicX13178997,2021cicX13178997,AA234,sequenced_individual,F3,F3,M
fAulAsc248,2021cicX13611510,2021cicX13611510,AA235,sequenced_individual,F3,F3,M
fAulAsc249,2021cicX13611511,2021cicX13611511,AA236,sequenced_individual,F3,F3,M
fAulAsc250,2021cicX13611512,2021cicX13611512,AA237,sequenced_individual,F3,F3,M
fAulAsc251,2021cicX13611513,2021cicX13611513,AA238,sequenced_individual,F3,F3,M
fAulAsc245,2021cicX13611514,2021cicX13611514,AA239,sequenced_individual,F3,F3,M
fAulAsc246,2021cicX13611515,2021cicX13611515,AA240,sequenced_individual,F3,F3,M
fAulAsc247,2021cicX13611516,2021cicX13611516,AA241,sequenced_individual,F3,F3,M
fAulAsc252,2021cicX13611517,2021cicX13611517,AA242,sequenced_individual,F3,F3,M
fAulAsc262,2021cicX13611518,2021cicX13611518,AA243,sequenced_individual,F3,F3,M
fAulAsc265,2021cicX13611519,2021cicX13611519,AA244,sequenced_individual,F3,F3,M
fAulAsc268,2021cicX13611520,2021cicX13611520,AA245,sequenced_individual,F3,F3,M
fAulAsc271,2021cicX13611521,2021cicX13611521,AA246,sequenced_individual,F3,F3,M
fAulAsc254,2021cicX13611522,2021cicX13611522,AA247,sequenced_individual,F3,F3,M
fAulAsc256,2021cicX13611523,2021cicX13611523,AA248,sequenced_individual,F3,F3,M
fAulAsc258,2021cicX13611524,2021cicX13611524,AA249,sequenced_individual,F3,F3,M
fAulAsc260,2021cicX13611525,2021cicX13611525,AA250,sequenced_individual,F3,F3,M
fAulAsc263,2021cicX13611526,2021cicX13611526,AA251,sequenced_individual,F3,F3,M
fAulAsc266,2021cicX13611527,2021cicX13611527,AA252,sequenced_individual,F3,F3,M
fAulAsc269,2021cicX13611528,2021cicX13611528,AA253,sequenced_individual,F3,F3,M
fAulAsc272,2021cicX13611529,2021cicX13611529,AA254,sequenced_individual,F3,F3,M
fAulAsc253,2021cicX13611530,2021cicX13611530,AA255,sequenced_individual,F3,F3,M
fAulAsc255,2021cicX13611531,2021cicX13611531,AA256,sequenced_individual,F3,F3,M
fAulAsc257,2021cicX13611532,2021cicX13611532,AA257,sequenced_individual,F3,F3,M
fAulAsc259,2021cicX13611533,2021cicX13611533,AA258,sequenced_individual,F3,F3,M
fAulAsc261,2021cicX13611534,2021cicX13611534,AA259,sequenced_individual,F3,F3,M
fAulAsc264,2021cicX13611535,2021cicX13611535,AA260,sequenced_individual,F3,F3,M
fAulAsc267,2021cicX13611536,2021cicX13611536,AA261,sequenced_individual,F3,F3,M
fAulAsc270,2021cicX13611537,2021cicX13611537,AA262,sequenced_individual,F3,F3,M
fAulAsc273,2021cicX13611538,2021cicX13611538,AA263,sequenced_individual,F3,F3,M
fAulAsc275,2021cicX13611539,2021cicX13611539,AA264,sequenced_individual,F3,F3,M
fAulAsc277,2021cicX13611540,2021cicX13611540,AA265,sequenced_individual,F3,F3,M
fAulAsc279,2021cicX13611541,2021cicX13611541,AA266,sequenced_individual,F3,F3,M
fAulAsc281,2021cicX13611542,2021cicX13611542,AA267,sequenced_individual,F3,F3,M
fAulAsc283,2021cicX13611543,2021cicX13611543,AA268,sequenced_individual,F3,F3,M
fAulAsc285,2021cicX13611544,2021cicX13611544,AA269,sequenced_individual,F3,F3,M
fAulAsc287,2021cicX13611545,2021cicX13611545,AA270,sequenced_individual,F3,F3,M
fAulAsc274,2021cicX13611546,2021cicX13611546,AA271,sequenced_individual,F3,F3,M
fAulAsc276,2021cicX13611547,2021cicX13611547,AA272,sequenced_individual,F3,F3,M
fAulAsc278,2021cicX13611548,2021cicX13611548,AA273,sequenced_individual,F3,F3,M
fAulAsc280,2021cicX13611549,2021cicX13611549,AA274,sequenced_individual,F3,F3,M
fAulAsc282,2021cicX13611550,2021cicX13611550,AA275,sequenced_individual,F3,F3,M
fAulAsc284,2021cicX13611551,2021cicX13611551,AA276,sequenced_individual,F3,F3,M
fAulAsc286,2021cicX13611552,2021cicX13611552,AA277,sequenced_individual,F3,F3,M
fAulAsc288,2021cicX13611553,2021cicX13611553,AA278,sequenced_individual,F3,F3,M
